order_id,supplier_id,order_date,delivery_date,quantity,status,delayed_days
1,1,2025-07-01,2025-07-08,100,pending,7
2,2,2025-07-02,2025-07-06,200,fulfilled,0
3,3,2025-07-03,2025-07-03,150,cancelled,0
4,1,2025-07-05,2025-07-08,50,fulfilled,0
5,4,2025-07-07,2025-07-14,75,pending,7
6,5,2025-07-08,2025-07-15,20,fulfilled,0
7,2,2025-07-10,2025-07-12,300,fulfilled,0
8,3,2025-07-11,2025-07-18,50,pending,7
9,4,2025-07-12,2025-07-12,100,cancelled,0
10,5,2025-07-13,2025-07-14,60,fulfilled,0
11,1,2025-07-14,2025-07-21,90,pending,7
12,2,2025-07-15,2025-07-18,40,fulfilled,0
13,3,2025-07-16,2025-07-20,30,fulfilled,0
14,4,2025-07-17,2025-07-24,80,pending,7
15,5,2025-07-18,2025-07-18,55,cancelled,0
